ВРЕМЯ,СУММА,КАТЕГОРИЯ
2017-12-16 14:59:00,-610.0,Еда
2017-12-16 16:49:00,-1000.0,Интернет и телефон
2017-12-17 16:49:00,-1600.0,Еда
2017-12-18 15:07:00,-7350.0,Подарки
2017-12-18 15:07:00,-1500.0,Комплектующие
2017-12-18 16:51:00,236.0,Доходы
2017-12-18 16:51:00,1698.0,Доходы
2017-12-19 12:04:00,-2150.0,Еда
2017-12-19 20:22:00,-1170.0,Еда
2017-12-20 23:16:00,5000.0,Доходы
2017-12-22 16:45:00,-578.0,Еда
2017-12-22 22:55:00,-493.0,Еда
2017-12-22 22:55:00,-12000.0,Подарки
2017-12-23 02:40:00,-1000.0,Дом
2017-12-23 19:39:00,12500.0,Доходы
2017-12-24 19:39:00,-4831.0,Дом
2017-12-24 19:39:00,-2631.0,Еда
2017-12-24 20:45:00,-30327.0,Комплектующие
2017-12-25 14:08:00,70269.0,Доходы
2017-12-25 14:08:00,8700.0,Доходы
2017-12-25 14:08:00,10540.0,Доходы
2017-12-25 14:08:00,-1260.0,Дом
2017-12-25 15:16:00,13000.0,Доходы
2017-12-25 18:09:00,-537.0,Еда
2017-12-25 18:09:00,-760.0,Дом
2017-12-26 17:51:00,-730.0,Еда
2017-12-26 21:46:00,3173.0,Доходы
2017-12-26 21:46:00,40318.0,Доходы
2017-12-27 11:25:00,1600.0,Доходы
2017-12-27 15:36:00,-300.0,Еда
2017-12-28 01:36:00,-700.0,Подарки
2017-12-28 01:36:00,-215.0,Еда
2017-12-28 23:12:00,-375.0,Еда
2017-12-29 12:21:00,-14700.0,Комплектующие
2017-12-29 12:48:00,1500.0,Доходы
2017-12-29 21:18:00,1000.0,Доходы
2017-12-29 21:18:00,1000.0,Доходы
2017-12-30 14:12:00,-635.0,Транспорт
2017-12-30 14:12:00,-754.0,Транспорт
